account,operator,pickup,dropoff,api_gravity,rate,driver_pay,notes
INFINITY HYDROCARBONS,JP OIL,58-1U,PENTLAND STATION,34,6.28,1.413,
INFINITY HYDROCARBONS,E&B NATURAL RESOURCES,AML LEASE,PENTLAND STATION,,4.47,1.006,
KERN OIL & REFINING,ETCHEGOIN,ANDERSON ETCHEGOIN,KERN ENERGY,18,2.84,0.639,
INFINITY HYDROCARBONS,ETCHEGOIN,ANDERSON ETCHEGOIN,PENTLAND STATION,17.78,4.32,0.9765,
INFINITY HYDROCARBONS,TRIO PETROLEUM,ANSOLABEHERE KERN FRONT,PENTLAND STATION,15.35,4.29,0.9653,
CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,ANTHILL,BAKERSFIELD TANK FARM,,1.2,0.306,
CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,ANTHILL,OLYMPUS TERMINAL LLC,,4.74,1.158,
CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,ANTHILL,SAN JOAQUIN REFINERY,14.068,2.22,0.4995,
INFINITY HYDROCARBONS,E&B NATURAL RESOURCES,ANZA,PENTLAND STATION,,3.9,0.878,
KERN ENERGY,CATHER HERLEY (THROUGH PINNACLE PETROLEUM),BELRIDGE B,KERN ENERGY,34.4,3.95,0.9273,
KERN OIL & REFINING,"CANFIELD RANCH HOLDINGS, LLC.",BERCHTOLD LEASE,KERN ENERGY,32,1.86,0.4185,
KERN ENERGY,PROTHO ENERGY,BERRENDA MESA,KERN ENERGY,31.7,4.22,0.9495,
IPEX,,BLACK LEASE,PENTLAND STATION,,3.74,0.8415,
"TEXICAN CRUDE & HYDROCARBONS, LLC.",LITTLE CREEK PROPERTIES,BLACK SATIN LEASE,PENTLAND STATION,16.4667,4.64,1.044,
INFINITY HYDROCARBONS,E&B NATURAL RESOURCES,BLACKWELLS CORNER UNIT,PENTLAND STATION,,5.33,1.199,
INFINITY HYDROCARBONS,SIERRA,BLAIR,PENTLAND STATION,29.1,5.54,1.3047,
"SIERRA RESOURCES, INC.",SIERRA,BLAIR,SOLADINO (BLAIR TO SOLADINO),28,1.86,0.558,
