name,kind,lat,lon,loads_history,avg_bbl_history,notes
1X16 TANK BATTERY,pickup,36.458463,-119.906476,0,,
2X-9 STORAGE FACILITY,pickup,36.458459,-119.90668,0,,
58-1U,pickup,35.951153,-119.976228,1,160.76,
7Y,pickup,35.84843,-120.06131,0,,
AERA LOCKWOOD #122918,pickup,35.139459,-119.506819,0,,
AFS N MIDWAY (FINLEY),dropoff,35.235698,-119.573819,0,,
ALEXANDER,pickup,35.95074,-120.814708,0,,
AML LEASE,pickup,35.3213,-119.736,0,,Added by Josh 9/8/2026
ANDERSON ETCHEGOIN,pickup,35.396461,-119.751086,5,160.68,
ANSOLABEHERE KERN FRONT,pickup,35.518012,-119.052513,24,153.45,
ANTHILL,pickup,35.4,-118.854,24,153.2,
ANZA,pickup,35.522112,-119.076868,0,,
ASPHALTO LEASE,pickup,35.294965,-119.587928,0,,
BAKERSFIELD TANK FARM,dropoff,35.4454,-119.046,0,,
BALFOUR LEASE,pickup,35.793724,-120.02475,0,,
BELRIDGE B,pickup,35.568349,-119.826356,3,174.09,
BERCHTOLD LEASE,pickup,35.360474,-119.160917,1,161.1,
BERRENDA MESA,pickup,35.6278,-119.8969,2,171.74,
BLACK LEASE,pickup,35.3876,-119.046,0,,
BLACK SATIN LEASE,pickup,35.656856,-119.015367,3,151.99,
BLACKWELLS CORNER UNIT,pickup,35.64372,-119.96442,0,,
BLAIR,pickup,34.722021,-120.245469,54,164.36,
BOWLES,pickup,35.6534,-118.961,5,144.48,
BOYNE,pickup,34.711045,-120.218164,48,153.53,
BROCKMAN,pickup,35.319275,-118.820518,5,156.54,
BROWN,pickup,35.3229,-118.837,15,152.74,
BURNS CRIST,pickup,34.457912,-118.6424,0,,
CAL CANAL,pickup,35.443767,-119.640577,24,175.58,
CAL FEDERAL A,pickup,35.295509,-119.582689,6,168.95,
CARIBOU,pickup,35.502187,-119.084482,5,152.62,
CARNEROS,pickup,35.45484,-119.74715,12,155.8,
CASMALIA,dropoff,34.853545,-120.518746,0,,
CAT CANYON,both,34.837715,-120.300234,0,,
CAULEY TRUST,pickup,35.490892,-119.080067,12,152.72,
CERINI TANK BATTERY,pickup,36.437956,-119.890344,0,,
CHAMBERLAIN LCO DROP - PCEC,dropoff,34.730078,-120.153789,0,,
CHARDONNAY,pickup,35.077396,-119.092093,49,168.7,
COALINGA TRUCK RACK (HEAVY),dropoff,36.192196,-120.354946,0,,"Rate sheet ""COALINGA"" = heavy rack; crude gravity decides light vs heavy; 0.13 mi apart"
COALINGA TRUCK RACK (LIGHT),dropoff,36.1913,-120.357,0,,
COFFEE LEASE,pickup,35.509889,-118.883022,3,146.75,
COMMUNITY,pickup,36.000796,-119.043007,3,158.87,
CONOCO (E&B),pickup,35.5369,-119.078,0,,
CRC 10G,both,35.240442,-119.380412,0,,
CRC 18G,pickup,35.2308,-119.43,0,,
CUCCIA,pickup,35.555761,-119.083054,0,,
CUYAMA SOUTH LEASE,pickup,34.959,-119.713,0,,
CWOD,pickup,35.3054,-119.709,0,,
DAVIS LCO DROP - PCEC,dropoff,34.724,-120.136472,0,,
DEBBIE LEASE,pickup,36.514034,-120.000283,0,,
DEHY 2 - CRC,dropoff,35.429147,-119.689406,0,,
DEHY 20 CRC,dropoff,35.477619,-119.73615,0,,
DELTA TRADING/CRIMSON,pickup,35.178298,-119.161545,0,,
DERBY,pickup,35.295976,-118.975309,0,,
DEVILS DEN (BCL LEASE),pickup,35.751314,-120.017604,3,161.67,
DORSEY GARDNER,pickup,35.54905,-118.86014,3,143.54,
DOUGHERTY,pickup,35.9469,-119.977,3,176.42,
DRYDEN,pickup,34.362181,-118.921169,142,175.94,
E & M LEASE,pickup,35.438769,-118.949511,27,151.12,
E&B ANDERSON,pickup,35.3029,-119.682,0,,Added by Josh 9/8/2026
E&B RIO BRAVO,pickup,35.546313,-119.078833,0,,Uses former RIO BRAVO USL (157738) coordinates; USL no longer hauled (Josh 9/8/2026)
E&B SALT CREEK,pickup,35.410664,-119.73286,8,150.86,
ELLIOT GLIDE 1-27,pickup,35.549056,-118.957611,3,159.47,
ENAS 21,pickup,35.5626,-119.079,6,151.63,
ENOS,pickup,34.926976,-120.393065,5,153.05,
ENRON 1-34,pickup,35.2791,-119.178,3,176.22,
F.E. SMITH,pickup,35.305602,-119.682158,0,,Added by Josh 9/8/2026
FOTH,pickup,35.415587,-119.055531,2,152.68,
GABRIEL,pickup,36.50029,-119.981946,0,,
GENERAL CARBON CO.,dropoff,33.971879,-118.244251,0,,
GIL SESNON,pickup,35.502,-119.095,0,,Added by Josh 9/8/2026
GLIDE 15,pickup,35.5739,-118.953,9,155.88,
GLIDE 33,pickup,35.539531,-118.959772,0,,Added by Josh 9/8/2026
GUMP TRUST,pickup,36.701463,-118.755997,2,157.76,
HANCOCK,pickup,34.94001,-120.398974,10,149.28,
HELM LEASE,pickup,36.4719,-120.043,19,173.89,
HERSHEY,pickup,35.3145,-118.83,0,,
HOLMES/BALLARD,pickup,35.065716,-119.336959,8,159.19,
HOPKINS,pickup,35.53006,-119.85824,0,,
HOUGHTON LEASE,pickup,35.358348,-119.157602,0,,
HOYT,pickup,35.341,-119.648,4,159.42,
ISABEL FEDERAL,pickup,35.5585,-119.081,5,151.67,
JADE KERN PROJECT,pickup,35.1501,-119.484,0,,
JENSEN,pickup,36.433311,-119.87178,0,,
JEWETT,pickup,35.2155,-118.839,1,160.63,
JOHNSON LEASE,pickup,35.364117,-119.204369,22,162.2,
JONES,pickup,35.6517,-118.962,7,144.33,
JUTBU,pickup,36.07917,-120.323681,9,172.01,
KARPE,pickup,35.36469,-119.16955,2,175.75,
KCL 61 - HIGHGATE,pickup,35.337536,-119.170089,2,163.5,
KCL SOUTH,pickup,34.994,-118.971,0,,Added by Josh 9/8/2026
KEMP,dropoff,34.896814,-120.385583,0,,
KERN ENERGY,both,35.295552,-118.924627,2,160.0,
KERN FRONT SECTION 27,pickup,35.4568,-119.055,92,157.26,
KETTLEMAN MIDDLE DOME,pickup,35.900168,-119.953928,14,172.31,
LAYMANCE,pickup,35.303288,-119.632718,49,150.9,
LINCOLN,pickup,35.0377,-119.376,0,,
LITTLE CREEK,pickup,35.644856,-118.956722,0,,
LOST HILLS #2 - CRC,pickup,35.649643,-119.745522,2405,160.75,Merged LOST HILLS 2 into this location (Josh 9/8/2026)
LOST HILLS 1,pickup,35.613622,-119.724231,0,,
LOVEGREN,pickup,35.366214,-119.204251,7,167.96,
